date,time,action,symbol,asset_class,qty,price,notes
2026-06-06,11:17:22,BUY,XLK,stock,90.1276,180.3,
2026-06-06,11:17:22,BUY,NVDA,stock,79.2296,205.1,
2026-06-06,11:17:23,BUY,EEM,stock,251.5869,64.59,
2026-06-06,11:17:23,BUY,IWM,stock,57.6957,281.65,
2026-06-06,11:29:53,BUY,XLK,stock,90.1276,180.3,
2026-06-06,11:29:53,BUY,NVDA,stock,79.2296,205.1,
2026-06-06,11:29:53,BUY,EEM,stock,251.5869,64.59,
2026-06-06,11:29:54,BUY,IWM,stock,57.6957,281.65,
2026-06-06,11:36:28,BUY,XLK,stock,90.1276,180.3,
2026-06-06,11:36:28,BUY,NVDA,stock,79.2296,205.1,
2026-06-06,11:36:28,BUY,EEM,stock,251.5869,64.59,
2026-06-06,11:36:29,BUY,IWM,stock,57.6957,281.65,
2026-06-06,11:36:30,BUY,BTCUSD,crypto,0.2306,60711.6211,
2026-06-06,11:36:30,BUY,LINKUSD,crypto,2851.3239,7.365,
